# label=honeycomb-i9-12900F-php8.4-REBUILD-CONTROL-n300k
# n=300000
# rounds=7
# loadavg_before=1.06
# loadavg_after-round-0=1.04
# loadavg_after-round-1=1.03
# loadavg_after-round-2=1.03
# loadavg_after-round-3=1.02
# loadavg_after-round-4=1.02
# loadavg_after-round-5=1.01
# loadavg_after-round-6=1.01
arm,seed,corpus,n,trial,kernel,ns_per_op,hits
pre,0,ctl.del,300000,1,serial,17.579,300000
pre,0,ctl.del,300000,2,serial,17.185,300000
pre,0,ctl.del,300000,3,serial,17.083,300000
pre,0,ctl.del,300000,4,serial,17.297,300000
pre,0,ctl.del,300000,5,serial,17.100,300000
pre,0,ctl.del,300000,6,serial,17.324,300000
rebuild,0,ser.set,300000,0,serial,551.676,300000
rebuild,0,ser.set,300000,1,serial,546.378,300000
rebuild,0,ser.set,300000,2,serial,548.496,300000
rebuild,0,ser.set,300000,3,serial,545.734,300000
rebuild,0,ser.set,300000,4,serial,545.110,300000
rebuild,0,ser.set,300000,5,serial,551.093,300000
rebuild,0,ser.set,300000,6,serial,545.981,300000
rebuild,0,ser.get,300000,0,serial,277.250,300000
rebuild,0,ser.get,300000,1,serial,274.783,300000
rebuild,0,ser.get,300000,2,serial,276.715,300000
rebuild,0,ser.get,300000,3,serial,278.068,300000
rebuild,0,ser.get,300000,4,serial,278.202,300000
rebuild,0,ser.get,300000,5,serial,274.977,300000
rebuild,0,ser.get,300000,6,serial,275.567,300000
rebuild,0,ser.getr,300000,0,serial,595.960,300000
rebuild,0,ser.getr,300000,1,serial,592.324,300000
rebuild,0,ser.getr,300000,2,serial,594.215,300000
rebuild,0,ser.getr,300000,3,serial,589.965,300000
rebuild,0,ser.getr,300000,4,serial,591.975,300000
rebuild,0,ser.getr,300000,5,serial,593.275,300000
rebuild,0,ser.getr,300000,6,serial,591.358,300000
rebuild,0,ser.hasr,300000,0,serial,283.596,300000
rebuild,0,ser.hasr,300000,1,serial,281.147,300000
rebuild,0,ser.hasr,300000,2,serial,281.610,300000
rebuild,0,ser.hasr,300000,3,serial,279.740,300000
rebuild,0,ser.hasr,300000,4,serial,280.442,300000
rebuild,0,ser.hasr,300000,5,serial,279.547,300000
rebuild,0,ser.hasr,300000,6,serial,280.574,300000
rebuild,0,ser.keys,300000,0,serial,10.588,300000
rebuild,0,ser.keys,300000,1,serial,10.608,300000
rebuild,0,ser.keys,300000,2,serial,10.558,300000
rebuild,0,ser.keys,300000,3,serial,10.502,300000
rebuild,0,ser.keys,300000,4,serial,10.660,300000
rebuild,0,ser.keys,300000,5,serial,10.436,300000
rebuild,0,ser.keys,300000,6,serial,10.697,300000
rebuild,0,ser.delpfx,300000,0,serial,12.201,300000
rebuild,0,ser.delpfx,300000,1,serial,12.254,300000
rebuild,0,ser.delpfx,300000,2,serial,12.180,300000
rebuild,0,ser.delpfx,300000,3,serial,12.194,300000
rebuild,0,ser.delpfx,300000,4,serial,12.142,300000
rebuild,0,ser.delpfx,300000,5,serial,12.199,300000
rebuild,0,ser.delpfx,300000,6,serial,12.214,300000
rebuild,0,ser.del,300000,0,serial,133.384,300000
rebuild,0,ser.del,300000,1,serial,133.256,300000
rebuild,0,ser.del,300000,2,serial,133.637,300000
rebuild,0,ser.del,300000,3,serial,132.921,300000
rebuild,0,ser.del,300000,4,serial,133.963,300000
rebuild,0,ser.del,300000,5,serial,134.035,300000
rebuild,0,ser.del,300000,6,serial,133.349,300000
rebuild,0,raw.set,300000,0,serial,352.889,300000
rebuild,0,raw.set,300000,1,serial,353.492,300000
rebuild,0,raw.set,300000,2,serial,354.438,300000
rebuild,0,raw.set,300000,3,serial,353.286,300000
rebuild,0,raw.set,300000,4,serial,352.751,300000
rebuild,0,raw.set,300000,5,serial,351.662,300000
rebuild,0,raw.set,300000,6,serial,353.097,300000
rebuild,0,raw.get,300000,0,serial,431.689,300000
rebuild,0,raw.get,300000,1,serial,430.605,300000
rebuild,0,raw.get,300000,2,serial,433.023,300000
rebuild,0,raw.get,300000,3,serial,432.254,300000
rebuild,0,raw.get,300000,4,serial,432.555,300000
rebuild,0,raw.get,300000,5,serial,428.161,300000
rebuild,0,raw.get,300000,6,serial,429.579,300000
rebuild,0,raw.getr,300000,0,serial,657.232,300000
rebuild,0,raw.getr,300000,1,serial,660.268,300000
rebuild,0,raw.getr,300000,2,serial,658.872,300000
rebuild,0,raw.getr,300000,3,serial,658.869,300000
rebuild,0,raw.getr,300000,4,serial,659.607,300000
rebuild,0,raw.getr,300000,5,serial,656.658,300000
rebuild,0,raw.getr,300000,6,serial,657.240,300000
rebuild,0,raw.hasr,300000,0,serial,284.529,300000
rebuild,0,raw.hasr,300000,1,serial,282.968,300000
rebuild,0,raw.hasr,300000,2,serial,282.220,300000
rebuild,0,raw.hasr,300000,3,serial,281.515,300000
rebuild,0,raw.hasr,300000,4,serial,282.063,300000
rebuild,0,raw.hasr,300000,5,serial,279.964,300000
rebuild,0,raw.hasr,300000,6,serial,281.845,300000
rebuild,0,raw.keys,300000,0,serial,10.601,300000
rebuild,0,raw.keys,300000,1,serial,10.554,300000
rebuild,0,raw.keys,300000,2,serial,10.586,300000
rebuild,0,raw.keys,300000,3,serial,10.568,300000
rebuild,0,raw.keys,300000,4,serial,10.561,300000
rebuild,0,raw.keys,300000,5,serial,10.467,300000
rebuild,0,raw.keys,300000,6,serial,10.480,300000
rebuild,0,raw.delpfx,300000,0,serial,13.200,300000
rebuild,0,raw.delpfx,300000,1,serial,13.170,300000
rebuild,0,raw.delpfx,300000,2,serial,13.176,300000
rebuild,0,raw.delpfx,300000,3,serial,13.180,300000
rebuild,0,raw.delpfx,300000,4,serial,13.221,300000
rebuild,0,raw.delpfx,300000,5,serial,13.185,300000
rebuild,0,raw.delpfx,300000,6,serial,13.304,300000
rebuild,0,raw.del,300000,0,serial,146.790,300000
rebuild,0,raw.del,300000,1,serial,146.917,300000
rebuild,0,raw.del,300000,2,serial,147.005,300000
rebuild,0,raw.del,300000,3,serial,146.425,300000
rebuild,0,raw.del,300000,4,serial,147.163,300000
rebuild,0,raw.del,300000,5,serial,147.079,300000
rebuild,0,raw.del,300000,6,serial,147.260,300000
rebuild,0,rawint.set,300000,0,serial,137.677,300000
rebuild,0,rawint.set,300000,1,serial,137.956,300000
rebuild,0,rawint.set,300000,2,serial,137.592,300000
rebuild,0,rawint.set,300000,3,serial,137.589,300000
rebuild,0,rawint.set,300000,4,serial,137.299,300000
rebuild,0,rawint.set,300000,5,serial,137.051,300000
rebuild,0,rawint.set,300000,6,serial,138.951,300000
rebuild,0,rawint.get,300000,0,serial,170.954,300000
rebuild,0,rawint.get,300000,1,serial,168.217,300000
rebuild,0,rawint.get,300000,2,serial,170.810,300000
rebuild,0,rawint.get,300000,3,serial,170.778,300000
rebuild,0,rawint.get,300000,4,serial,170.818,300000
rebuild,0,rawint.get,300000,5,serial,167.768,300000
rebuild,0,rawint.get,300000,6,serial,168.730,300000
rebuild,0,rawint.getr,300000,0,serial,398.112,300000
rebuild,0,rawint.getr,300000,1,serial,397.252,300000
rebuild,0,rawint.getr,300000,2,serial,397.255,300000
rebuild,0,rawint.getr,300000,3,serial,393.290,300000
rebuild,0,rawint.getr,300000,4,serial,394.414,300000
rebuild,0,rawint.getr,300000,5,serial,394.185,300000
rebuild,0,rawint.getr,300000,6,serial,402.200,300000
rebuild,0,rawint.hasr,300000,0,serial,283.892,300000
rebuild,0,rawint.hasr,300000,1,serial,281.299,300000
rebuild,0,rawint.hasr,300000,2,serial,282.097,300000
rebuild,0,rawint.hasr,300000,3,serial,280.334,300000
rebuild,0,rawint.hasr,300000,4,serial,281.108,300000
rebuild,0,rawint.hasr,300000,5,serial,280.574,300000
rebuild,0,rawint.hasr,300000,6,serial,311.127,300000
rebuild,0,rawint.keys,300000,0,serial,10.566,300000
rebuild,0,rawint.keys,300000,1,serial,10.703,300000
rebuild,0,rawint.keys,300000,2,serial,10.481,300000
rebuild,0,rawint.keys,300000,3,serial,10.512,300000
rebuild,0,rawint.keys,300000,4,serial,10.550,300000
rebuild,0,rawint.keys,300000,5,serial,10.444,300000
rebuild,0,rawint.keys,300000,6,serial,10.585,300000
rebuild,0,rawint.delpfx,300000,0,serial,12.011,300000
rebuild,0,rawint.delpfx,300000,1,serial,12.203,300000
rebuild,0,rawint.delpfx,300000,2,serial,12.002,300000
rebuild,0,rawint.delpfx,300000,3,serial,11.964,300000
rebuild,0,rawint.delpfx,300000,4,serial,12.084,300000
rebuild,0,rawint.delpfx,300000,5,serial,11.974,300000
rebuild,0,rawint.delpfx,300000,6,serial,11.994,300000
rebuild,0,rawint.del,300000,0,serial,131.792,300000
rebuild,0,rawint.del,300000,1,serial,131.013,300000
rebuild,0,rawint.del,300000,2,serial,131.320,300000
rebuild,0,rawint.del,300000,3,serial,131.033,300000
rebuild,0,rawint.del,300000,4,serial,130.899,300000
rebuild,0,rawint.del,300000,5,serial,131.280,300000
rebuild,0,rawint.del,300000,6,serial,131.446,300000
rebuild,0,jser.set,300000,0,serial,72.101,300000
rebuild,0,jser.set,300000,1,serial,71.653,300000
rebuild,0,jser.set,300000,2,serial,71.769,300000
rebuild,0,jser.set,300000,3,serial,72.942,300000
rebuild,0,jser.set,300000,4,serial,71.912,300000
rebuild,0,jser.set,300000,5,serial,71.914,300000
rebuild,0,jser.set,300000,6,serial,71.526,300000
rebuild,0,jser.get,300000,0,serial,107.448,300000
rebuild,0,jser.get,300000,1,serial,107.277,300000
rebuild,0,jser.get,300000,2,serial,106.880,300000
rebuild,0,jser.get,300000,3,serial,106.832,300000
rebuild,0,jser.get,300000,4,serial,107.540,300000
rebuild,0,jser.get,300000,5,serial,107.532,300000
rebuild,0,jser.get,300000,6,serial,107.306,300000
rebuild,0,jser.getr,300000,0,serial,331.858,300000
rebuild,0,jser.getr,300000,1,serial,333.194,300000
rebuild,0,jser.getr,300000,2,serial,332.788,300000
rebuild,0,jser.getr,300000,3,serial,328.629,300000
rebuild,0,jser.getr,300000,4,serial,328.319,300000
rebuild,0,jser.getr,300000,5,serial,329.426,300000
