# label=honeycomb-i9-12900F-php8.4-cache-resident-n300k
# n=300000
# rounds=7
# loadavg_before=1.09
# loadavg_after-round-0=1.06
# loadavg_after-round-1=1.05
# loadavg_after-round-2=1.03
# loadavg_after-round-3=1.02
# loadavg_after-round-4=1.01
# loadavg_after-round-5=1.01
# loadavg_after-round-6=1.01
arm,seed,corpus,n,trial,kernel,ns_per_op,hits
pre,0,jarr.keys,300000,1,serial,8.257,300000
pre,0,jarr.keys,300000,2,serial,8.222,300000
pre,0,jarr.keys,300000,3,serial,8.197,300000
pre,0,jarr.keys,300000,4,serial,8.262,300000
pre,0,jarr.keys,300000,5,serial,8.481,300000
pre,0,jarr.keys,300000,6,serial,8.187,300000
pre,0,jarr.delpfx,300000,0,serial,12.724,300000
pre,0,jarr.delpfx,300000,1,serial,12.827,300000
pre,0,jarr.delpfx,300000,2,serial,12.945,300000
pre,0,jarr.delpfx,300000,3,serial,12.968,300000
pre,0,jarr.delpfx,300000,4,serial,12.817,300000
pre,0,jarr.delpfx,300000,5,serial,13.916,300000
pre,0,jarr.delpfx,300000,6,serial,12.785,300000
pre,0,jarr.del,300000,0,serial,105.010,300000
pre,0,jarr.del,300000,1,serial,105.137,300000
pre,0,jarr.del,300000,2,serial,105.005,300000
pre,0,jarr.del,300000,3,serial,105.635,300000
pre,0,jarr.del,300000,4,serial,105.378,300000
pre,0,jarr.del,300000,5,serial,110.503,300000
pre,0,jarr.del,300000,6,serial,105.108,300000
pre,0,jint.set,300000,0,serial,71.383,300000
pre,0,jint.set,300000,1,serial,71.709,300000
pre,0,jint.set,300000,2,serial,71.448,300000
pre,0,jint.set,300000,3,serial,71.276,300000
pre,0,jint.set,300000,4,serial,71.673,300000
pre,0,jint.set,300000,5,serial,80.501,300000
pre,0,jint.set,300000,6,serial,71.415,300000
pre,0,jint.get,300000,0,serial,107.040,300000
pre,0,jint.get,300000,1,serial,106.948,300000
pre,0,jint.get,300000,2,serial,107.223,300000
pre,0,jint.get,300000,3,serial,107.577,300000
pre,0,jint.get,300000,4,serial,107.510,300000
pre,0,jint.get,300000,5,serial,107.539,300000
pre,0,jint.get,300000,6,serial,107.394,300000
pre,0,jint.getr,300000,0,serial,306.942,300000
pre,0,jint.getr,300000,1,serial,306.854,300000
pre,0,jint.getr,300000,2,serial,307.297,300000
pre,0,jint.getr,300000,3,serial,306.698,300000
pre,0,jint.getr,300000,4,serial,307.612,300000
pre,0,jint.getr,300000,5,serial,307.320,300000
pre,0,jint.getr,300000,6,serial,307.047,300000
pre,0,jint.hasr,300000,0,serial,225.983,300000
pre,0,jint.hasr,300000,1,serial,226.758,300000
pre,0,jint.hasr,300000,2,serial,225.844,300000
pre,0,jint.hasr,300000,3,serial,226.705,300000
pre,0,jint.hasr,300000,4,serial,226.231,300000
pre,0,jint.hasr,300000,5,serial,226.990,300000
pre,0,jint.hasr,300000,6,serial,226.897,300000
pre,0,jint.keys,300000,0,serial,8.331,300000
