# label=honeycomb-DECOMPOSITION-linkage-vs-distro-flags-n300k
# n=300000
# rounds=7
# loadavg_before=0.55
# loadavg_after-round-0=0.55
# loadavg_after-round-1=0.65
# loadavg_after-round-2=0.7
# loadavg_after-round-3=0.77
# loadavg_after-round-4=0.81
# loadavg_after-round-5=0.85
# loadavg_after-round-6=0.87
arm,seed,corpus,n,trial,kernel,ns_per_op,hits
pre,0,jint.keys,300000,3,serial,9.013,300000
pre,0,jint.keys,300000,4,serial,9.765,300000
pre,0,jint.keys,300000,5,serial,9.061,300000
pre,0,jint.keys,300000,6,serial,8.925,300000
pre,0,jint.delpfx,300000,0,serial,13.024,300000
pre,0,jint.delpfx,300000,1,serial,13.072,300000
pre,0,jint.delpfx,300000,2,serial,13.049,300000
pre,0,jint.delpfx,300000,3,serial,13.055,300000
pre,0,jint.delpfx,300000,4,serial,15.495,300000
pre,0,jint.delpfx,300000,5,serial,13.021,300000
pre,0,jint.delpfx,300000,6,serial,13.074,300000
pre,0,jint.del,300000,0,serial,95.878,300000
pre,0,jint.del,300000,1,serial,95.858,300000
pre,0,jint.del,300000,2,serial,95.575,300000
pre,0,jint.del,300000,3,serial,95.352,300000
pre,0,jint.del,300000,4,serial,96.027,300000
pre,0,jint.del,300000,5,serial,95.570,300000
pre,0,jint.del,300000,6,serial,95.427,300000
pre,0,ctl.set,300000,0,serial,101.117,300000
pre,0,ctl.set,300000,1,serial,98.661,300000
pre,0,ctl.set,300000,2,serial,98.986,300000
pre,0,ctl.set,300000,3,serial,99.721,300000
pre,0,ctl.set,300000,4,serial,99.603,300000
pre,0,ctl.set,300000,5,serial,98.415,300000
pre,0,ctl.set,300000,6,serial,100.451,300000
pre,0,ctl.get,300000,0,serial,103.652,300000
pre,0,ctl.get,300000,1,serial,103.802,300000
pre,0,ctl.get,300000,2,serial,103.926,300000
pre,0,ctl.get,300000,3,serial,103.812,300000
pre,0,ctl.get,300000,4,serial,104.078,300000
pre,0,ctl.get,300000,5,serial,103.744,300000
pre,0,ctl.get,300000,6,serial,104.145,300000
pre,0,ctl.getr,300000,0,serial,346.446,300000
pre,0,ctl.getr,300000,1,serial,344.557,300000
pre,0,ctl.getr,300000,2,serial,345.185,300000
pre,0,ctl.getr,300000,3,serial,345.668,300000
pre,0,ctl.getr,300000,4,serial,345.416,300000
pre,0,ctl.getr,300000,5,serial,345.777,300000
pre,0,ctl.getr,300000,6,serial,345.645,300000
pre,0,ctl.hasr,300000,0,serial,59.208,300000
pre,0,ctl.hasr,300000,1,serial,58.941,300000
pre,0,ctl.hasr,300000,2,serial,58.981,300000
pre,0,ctl.hasr,300000,3,serial,58.483,300000
pre,0,ctl.hasr,300000,4,serial,58.400,300000
pre,0,ctl.hasr,300000,5,serial,58.789,300000
pre,0,ctl.hasr,300000,6,serial,59.100,300000
pre,0,ctl.del,300000,0,serial,17.110,300000
pre,0,ctl.del,300000,1,serial,17.181,300000
pre,0,ctl.del,300000,2,serial,17.221,300000
pre,0,ctl.del,300000,3,serial,17.281,300000
pre,0,ctl.del,300000,4,serial,17.289,300000
pre,0,ctl.del,300000,5,serial,17.361,300000
pre,0,ctl.del,300000,6,serial,17.962,300000
prishared,0,ser.set,300000,0,serial,603.580,300000
prishared,0,ser.set,300000,1,serial,601.751,300000
prishared,0,ser.set,300000,2,serial,605.195,300000
prishared,0,ser.set,300000,3,serial,600.983,300000
prishared,0,ser.set,300000,4,serial,598.336,300000
prishared,0,ser.set,300000,5,serial,601.501,300000
prishared,0,ser.set,300000,6,serial,605.231,300000
prishared,0,ser.get,300000,0,serial,292.370,300000
prishared,0,ser.get,300000,1,serial,293.188,300000
prishared,0,ser.get,300000,2,serial,292.088,300000
prishared,0,ser.get,300000,3,serial,292.442,300000
prishared,0,ser.get,300000,4,serial,292.250,300000
prishared,0,ser.get,300000,5,serial,292.326,300000
prishared,0,ser.get,300000,6,serial,290.914,300000
prishared,0,ser.getr,300000,0,serial,608.010,300000
prishared,0,ser.getr,300000,1,serial,604.567,300000
prishared,0,ser.getr,300000,2,serial,606.752,300000
prishared,0,ser.getr,300000,3,serial,608.543,300000
prishared,0,ser.getr,300000,4,serial,603.800,300000
prishared,0,ser.getr,300000,5,serial,607.069,300000
prishared,0,ser.getr,300000,6,serial,607.249,300000
prishared,0,ser.hasr,300000,0,serial,287.923,300000
